,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
0,,0,35,,72,,2016-01-26 06:16:32 PM,40.76727216,,-73.99392888,,W 52 St & 11 Ave,,W 52 St & 11 Ave,3,Not In Service,False,39
1,,0,8,,79,,2016-01-26 06:16:55 PM,40.71911552,,-74.00666661,,Franklin St & W Broadway,,Franklin St & W Broadway,3,Not In Service,False,33
2,,0,22,,82,,2016-01-26 06:16:09 PM,40.71117416,,-74.00016545,,St James Pl & Pearl St,,St James Pl & Pearl St,3,Not In Service,False,27
3,,0,24,,83,,2016-01-26 06:17:58 PM,40.68382604,,-73.97632328,,Atlantic Ave & Fort Greene Pl,,Atlantic Ave & Fort Greene Pl,3,Not In Service,False,62
4,,0,39,,116,,2016-01-26 06:16:45 PM,40.74177603,,-74.00149746,,W 17 St & 8 Ave,,W 17 St & 8 Ave,3,Not In Service,False,39
5,,0,14,,119,,2016-01-26 06:17:52 PM,40.69608941,,-73.97803415,,Park Ave & St Edwards St,,Park Ave & St Edwards St,3,Not In Service,False,19
6,,0,13,,120,,2016-01-26 06:15:14 PM,40.68676793,,-73.95928168,,Lexington Ave & Classon Ave,,Lexington Ave & Classon Ave,3,Not In Service,False,19
7,,0,22,,127,,2016-01-26 06:17:42 PM,40.73172428,,-74.00674436,,Barrow St & Hudson St,,Barrow St & Hudson St,3,Not In Service,False,31
8,,0,28,,128,,2016-01-26 06:16:42 PM,40.72710258,,-74.00297088,,MacDougal St & Prince St,,MacDougal St & Prince St,3,Not In Service,False,30
9,,0,46,,137,,2016-01-26 06:17:46 PM,40.761628,,-73.972924,,E 56 St & Madison Ave,,E 56 St & Madison Ave,3,Not In Service,False,46
10,,0,20,,143,,2016-01-26 06:18:00 PM,40.69239502,,-73.99337909,,Clinton St & Joralemon St,,Clinton St & Joralemon St,3,Not In Service,False,24
11,,0,7,,144,,2016-01-26 06:16:37 PM,40.69839895,,-73.98068914,,Nassau St & Navy St,,Nassau St & Navy St,3,Not In Service,False,19
12,,0,31,,146,,2016-01-26 06:18:31 PM,40.71625008,,-74.0091059,,Hudson St & Reade St,,Hudson St & Reade St,3,Not In Service,False,39
13,,0,25,,147,,2016-01-26 06:15:13 PM,40.71542197,,-74.01121978,,Greenwich St & Warren St,,Greenwich St & Warren St,3,Not In Service,False,33
14,,0,31,,150,,2016-01-26 06:17:35 PM,40.7208736,,-73.98085795,,E 2 St & Avenue C,,E 2 St & Avenue C,3,Not In Service,False,31
15,,0,29,,151,,2016-01-26 06:17:56 PM,40.7221037867,,-73.9972490072,,Cleveland Pl & Spring St,,Cleveland Pl & Spring St,3,Not In Service,False,33
16,,0,7,,152,,2016-01-26 06:16:37 PM,40.71473993,,-74.00910627,,Warren St & Church St,,Warren St & Church St,3,Not In Service,False,29
17,,0,53,,153,,2016-01-26 06:17:31 PM,40.752062307,,-73.9816324043,,E 40 St & 5 Ave,,E 40 St & 5 Ave,3,Not In Service,False,55
18,,0,3,,157,,2016-01-26 06:15:33 PM,40.69089272,,-73.99612349,,Henry St & Atlantic Ave,,Henry St & Atlantic Ave,3,Not In Service,False,23
19,,0,26,,160,,2016-01-26 06:16:18 PM,40.748238,,-73.978311,,E 37 St & Lexington Ave,,E 37 St & Lexington Ave,3,Not In Service,False,26
20,,0,14,,161,,2016-01-26 06:15:55 PM,40.72917025,,-73.99810231,,LaGuardia Pl & W 3 St,,LaGuardia Pl & W 3 St,3,Not In Service,False,35
21,,0,47,,164,,2016-01-26 06:17:40 PM,40.75323098,,-73.97032517,,E 47 St & 2 Ave,,E 47 St & 2 Ave,3,Not In Service,False,47
