,t_max,t_min,precip,snow_depth,snowfall,windspeed
2013-07-01,25.0,22.2,21.3,0,0,14
2013-07-02,27.8,22.2,2.0,0,0,12
2013-07-03,28.3,22.8,13.5,0,0,19
2013-07-04,30.6,23.9,0.0,0,0,19
2013-07-05,32.2,24.4,0.0,0,0,22
2013-07-06,33.3,25.6,0.0,0,0,20
2013-07-07,33.3,25.6,0.0,0,0,19
2013-07-08,31.7,22.8,5.6,0,0,21
2013-07-09,31.1,23.3,5.8,0,0,14
2013-07-10,29.4,23.9,0.0,0,0,19
2013-07-11,28.9,24.4,0.0,0,0,17
2013-07-12,25.0,20.0,6.4,0,0,43
2013-07-13,27.2,19.4,1.5,0,0,24
2013-07-14,32.2,23.3,0.0,0,0,18
2013-07-15,34.4,25.6,0.0,0,0,16
2013-07-16,34.4,25.0,0.0,0,0,21
2013-07-17,36.1,26.1,0.0,0,0,15
2013-07-18,36.7,27.2,0.0,0,0,17
2013-07-19,35.6,28.3,0.0,0,0,23
2013-07-20,33.9,27.2,0.0,0,0,26
2013-07-21,31.7,24.4,0.0,0,0,21
2013-07-22,30.0,23.9,1.5,0,0,22
2013-07-23,30.6,22.8,7.9,0,0,19
2013-07-24,28.3,20.0,0.0,0,0,20
2013-07-25,20.0,17.8,0.3,0,0,40
2013-07-26,28.3,18.3,0.0,0,0,23
2013-07-27,27.8,21.1,0.0,0,0,15
2013-07-28,25.6,21.1,6.1,0,0,9
2013-07-29,29.4,20.6,0.3,0,0,17
2013-07-30,28.3,19.4,0.0,0,0,18
2013-07-31,28.3,19.4,0.0,0,0,13
2013-08-01,24.4,18.9,16.5,0,0,13
2013-08-02,28.3,19.4,0.0,0,0,20
2013-08-03,25.6,20.0,1.5,0,0,15
2013-08-04,26.7,18.9,0.0,0,0,23
2013-08-05,25.6,16.7,0.0,0,0,15
2013-08-06,27.8,17.8,0.0,0,0,12
2013-08-07,26.7,21.1,0.0,0,0,23
2013-08-08,27.2,21.1,11.7,0,0,20
2013-08-09,29.4,23.3,1.3,0,0,19
2013-08-10,28.3,21.1,0.0,0,0,22
2013-08-11,27.2,18.3,0.0,0,0,11
