,factors
0,0.007958073381440913
1,0.003877334459649662
2,0.002068964861923706
3,0.0012070644359205272
4,0.0014817346950168342
5,0.006091087665719703
6,0.025604434918055023
7,0.05287458906359831
8,0.09316654840503583
9,0.0701497745744066
10,0.0394747188148593
11,0.0380735144704013
12,0.045863519347357336
13,0.04810417539177778
14,0.04954683267479778
15,0.053352782561164463
16,0.06733596335797784
17,0.10436412736338169
18,0.10159687646763
19,0.06973298843854976
20,0.045889531363245806
21,0.0320399145475584
22,0.02408273198857942
23,0.01606271675195203
