,factors
0,0.01651978167940031
1,0.011302444663921744
2,0.007540073437260165
3,0.004766458319210665
4,0.0031147756883103833
5,0.0022006426822350654
6,0.0047814198818479856
7,0.01073593710085183
8,0.022679327719730403
9,0.039371813856734356
10,0.055900461647327156
11,0.0710184742050654
12,0.08114505087208362
13,0.08547614618961324
14,0.08653176755346866
15,0.08731143120645793
16,0.08608051943590106
17,0.07937016623773775
18,0.070865533786995
19,0.05749100505312925
20,0.041425796282993706
21,0.030595102618772182
22,0.02516774959442159
23,0.018608120286530548
